h3,similarity
86309959fffffff,0.29220619708064655
863091197ffffff,0.42900133906744
863099587ffffff,0.2893035044164304
863096257ffffff,0.46943276387294697
8641b530fffffff,0.610210059241996
86309958fffffff,0.27921951988007243
8641832e7ffffff,0.6635191623125499
863099597ffffff,0.2902560293299058
8641a54afffffff,0.5136099109263309
86319974fffffff,0.21095277684731048
86309a42fffffff,0.46296829736541767
86309b96fffffff,0.2950982943157666
8630acc9fffffff,0.17393400490270186
8641832efffffff,0.6698136544176707
864b34357ffffff,0.5089764551398109
8631992b7ffffff,0.21466298491123365
8630b028fffffff,0.2942687615818698
86309a557ffffff,0.4497895665217139
8630994a7ffffff,0.277481860072609
86309a55fffffff,0.47377367613518995
863098187ffffff,0.3623921391362416
8641b531fffffff,0.5974316675169713
8641a541fffffff,0.5125394237611214
8630962e7ffffff,0.45189151846862446
863098d2fffffff,0.36148581128536955
8630a271fffffff,0.2735749701285492
8641b5307ffffff,0.5739945827151314
8630995afffffff,0.3003318952685654
8641a0d47ffffff,0.5315850476146016
863099437ffffff,0.29661475294962486
8630981afffffff,0.3731099861972438
86309156fffffff,0.4125115605311216
863199287ffffff,0.22091414369896542
86309621fffffff,0.4508883181516663
8641832f7ffffff,0.6620049009360873
86309620fffffff,0.4670612427351578
863199747ffffff,0.22086925026117593
8641a0c2fffffff,0.5440657610599526
8641a560fffffff,0.624614023394515
863091567ffffff,0.4012422268555298
86309b947ffffff,0.30561732077710996
8630a5777ffffff,0.19171985462793145
8630962f7ffffff,0.4498055208707669
8641b2cc7ffffff,0.5688984061035536
863099417ffffff,0.2830495612543753
86309a50fffffff,0.46839307587734313
8630995b7ffffff,0.29773729839248847
86309b967ffffff,0.2946265036144712
8630acc8fffffff,0.17160990444536892
863094a9fffffff,0.44109984264420427
86309c6dfffffff,0.3913144845397284
8641a0d57ffffff,0.5464086020436147
8630b5d8fffffff,0.26073170411475816
86319976fffffff,0.21657004705977584
86309a477ffffff,0.46434548473691806
86309154fffffff,0.38800492979382367
863091187ffffff,0.39935524943286244
8641968efffffff,0.5805724508683203
8641b5377ffffff,0.5857593017346514
8641a46cfffffff,0.5558813560272002
86309c4cfffffff,0.41898052355248516
86309a457ffffff,0.45054372580677526
8641b2ccfffffff,0.5820217501727092
8630995a7ffffff,0.3041551418996927
86309a40fffffff,0.45160929925618587
863086207ffffff,0.4710282319188437
8630accf7ffffff,0.1764325210469517
86309119fffffff,0.39723574294405317
8641a8217ffffff,0.7356666165653054
8630994b7ffffff,0.2921271441299752
8640b63b7ffffff,0.3955160937841067
