h3,similarity
86309959fffffff,1.0000000000000002
863091197ffffff,0.949349963525632
863099587ffffff,0.9995330314611179
863096257ffffff,0.8430474503035432
8641b530fffffff,0.7816436215105509
86309958fffffff,0.9995530521586797
8641832e7ffffff,0.8140554609007915
863099597ffffff,0.9989289015242949
8641a54afffffff,0.8306372950383716
86319974fffffff,0.792988138999625
86309a42fffffff,0.9508719036753784
86309b96fffffff,0.9991317397023913
8630acc9fffffff,0.8687774430271539
8641832efffffff,0.806471459594418
864b34357ffffff,0.9314370912722536
8631992b7ffffff,0.8027967643988152
8630b028fffffff,0.7965546351433918
86309a557ffffff,0.9494129640162969
8630994a7ffffff,0.9970248446712927
86309a55fffffff,0.9493256561511285
863098187ffffff,0.9589619711573486
8641b531fffffff,0.7734495566230588
8641a541fffffff,0.8350982921260314
8630962e7ffffff,0.874532000138183
863098d2fffffff,0.981444770808009
8630a271fffffff,0.6758655525879091
8641b5307ffffff,0.7947022971735955
8630995afffffff,0.9968407666865196
8641a0d47ffffff,0.7639155862864484
863099437ffffff,0.9972780197499467
8630981afffffff,0.9572493227056734
86309156fffffff,0.944612307977848
863199287ffffff,0.8152641046735057
86309621fffffff,0.8572425876934884
8641832f7ffffff,0.8126911879134554
86309620fffffff,0.8313317405727543
863199747ffffff,0.787782648350662
8641a0c2fffffff,0.7688379900295852
8641a560fffffff,0.6986926773861889
863091567ffffff,0.952860302881223
86309b947ffffff,0.996240743511354
8630a5777ffffff,0.7686685187787187
8630962f7ffffff,0.8645884219297468
8641b2cc7ffffff,0.8829636655205323
863099417ffffff,0.9960259235779615
86309a50fffffff,0.9396341721419501
8630995b7ffffff,0.9955330432456491
86309b967ffffff,0.9975714490258882
8630acc8fffffff,0.8728654566541444
863094a9fffffff,0.7433353960871294
86309c6dfffffff,0.9693728482898326
8641a0d57ffffff,0.7510221924134639
8630b5d8fffffff,0.6676146642865477
86319976fffffff,0.7907917087236105
86309a477ffffff,0.9465840590984438
86309154fffffff,0.9467134057930663
863091187ffffff,0.9480960285285134
8641968efffffff,0.8535041539703151
